1.39E-03,40,2.8,-0.004,-2
1.40E-03,40,3.6,-0.012,-2
1.41E-03,60,3.6,-0.012,-2
1.42E-03,80,2.8,-0.004,-2
1.43E-03,60,3.6,-0.004,2
1.44E-03,60,3.6,-0.004,-2
1.45E-03,60,2.8,-0.004,-2
1.46E-03,40,3.6,-0.004,-2
1.47E-03,60,2.8,-0.012,-2
1.48E-03,60,3.6,-0.004,-6
1.49E-03,60,3.6,-0.004,2
1.50E-03,60,2,-0.004,2
1.51E-03,60,2.8,0.004,-2
1.52E-03,40,2,0.004,2
1.53E-03,40,2.8,-0.012,-2
1.54E-03,80,2,-0.004,-2
1.55E-03,20,3.6,-0.012,-6
1.56E-03,40,3.6,-0.004,-2
1.57E-03,40,3.6,-0.004,-2
1.58E-03,40,2.8,0.004,2
1.59E-03,20,3.6,-0.012,2
1.60E-03,40,2.8,-0.012,-6
1.61E-03,2.22E-13,3.6,-0.004,-2
1.62E-03,40,2.8,-0.012,2
1.63E-03,20,3.6,-0.012,-2
1.64E-03,40,3.6,0.004,2
1.65E-03,40,2.8,-0.004,2
1.66E-03,40,2,-0.004,-6
1.67E-03,40,4.4,-0.004,2
1.68E-03,60,2,-0.004,-2
1.69E-03,40,2.8,-0.004,-2
1.70E-03,60,2.8,-0.012,-2
1.71E-03,60,2.8,-0.004,-2
1.72E-03,60,2.8,-0.012,-2
1.73E-03,40,2.8,-0.012,-2
1.74E-03,60,2.8,-0.012,2
1.75E-03,20,3.6,-0.004,-2
1.76E-03,40,3.6,-0.004,-2
1.77E-03,40,2,-0.012,-2
1.78E-03,60,2.8,-0.004,-2
1.79E-03,60,2,-0.012,-2
1.80E-03,80,2.8,-0.012,-2
1.81E-03,60,3.6,0.004,-2
1.82E-03,60,2.8,-0.012,-2
1.83E-03,60,2,-0.004,-2
1.84E-03,40,2.8,-0.012,-2
1.85E-03,40,2.8,-0.012,-2
1.86E-03,40,3.6,-0.004,-2
1.87E-03,60,2.8,-0.004,-2
1.88E-03,60,2.8,-0.004,-2
1.89E-03,40,2.8,-0.004,2
1.90E-03,60,2.8,-0.004,2
1.91E-03,60,2,-0.012,2
1.92E-03,80,2.8,0.004,-6
1.93E-03,40,3.6,-0.012,-2
1.94E-03,100,2.8,-0.012,-2
1.95E-03,80,3.6,-0.02,-2
1.96E-03,80,2.8,-0.004,-6
1.97E-03,60,2.8,-0.004,-2
1.98E-03,60,3.6,-0.004,2
1.99E-03,60,2.8,-0.012,-2
2.00E-03,60,2,-0.012,2
2.01E-03,60,2.8,0.004,-2
2.02E-03,60,2.8,-0.004,-2
2.03E-03,80,2.8,-0.012,-2
2.04E-03,80,2,-0.004,2
2.05E-03,80,2,-0.012,-2
2.06E-03,60,3.6,-0.02,-2
2.07E-03,60,2,0.004,-6
2.08E-03,60,3.6,-0.012,-2
2.09E-03,40,2.8,-0.004,-2
2.10E-03,80,3.6,-0.012,-2
2.11E-03,40,2.8,-0.012,2
2.12E-03,40,2.8,-0.004,2
2.13E-03,60,2.8,-0.012,-6
2.14E-03,60,2.8,-0.004,-2
2.15E-03,60,3.6,-0.012,2
2.16E-03,40,2.8,-0.012,-2
2.17E-03,60,2,-0.004,-2
2.18E-03,80,2,0.004,2
2.19E-03,60,2,-0.004,-2
2.20E-03,60,3.6,-0.004,2
2.21E-03,60,2.8,-0.004,-2
2.22E-03,60,2.8,0.004,-2
2.23E-03,60,3.6,-0.004,2
2.24E-03,80,2.8,0.004,-2
2.25E-03,60,2,-0.004,-2
2.26E-03,60,3.6,-0.012,-2
2.27E-03,40,2.8,-0.004,2
2.28E-03,40,2.8,-0.012,-6
2.29E-03,40,2,-0.012,-2
2.30E-03,40,3.6,-0.012,-2
2.31E-03,20,2.8,-0.012,-2
2.32E-03,60,3.6,-0.004,-2
2.33E-03,40,2,-0.012,-2
2.34E-03,40,2.8,-0.004,-2
2.35E-03,20,2,-0.004,-2
2.36E-03,40,2.8,0.004,-6
2.37E-03,40,2.8,-0.004,-6
2.38E-03,40,2,-0.004,2
2.39E-03,40,2.8,-0.012,-2
2.40E-03,40,2,0.004,-2
2.41E-03,40,3.6,-0.004,-6
2.42E-03,40,3.6,-0.012,-2
2.43E-03,40,2.8,-0.004,2
2.44E-03,60,2.8,-0.012,-2
2.45E-03,60,3.6,-0.004,-2
2.46E-03,40,2,-0.012,-2
2.47E-03,60,2,-0.012,-6
2.48E-03,60,2.8,-0.012,-2
2.49E-03,60,2.8,-0.004,-2
2.50E-03,60,3.6,-0.004,-2
2.51E-03,40,2,-0.012,-2
2.52E-03,40,2.8,-0.004,2
